name,price,change,percent_change,volume_in_currency_24Hr
Bitcoin USD,"65,995.76","-3,882.02",-5.56%,47.088B
Ethereum USD,"3,554.98",-195.55,-5.21%,20.246B
Tether USDt USD,0.999224,-0.000925,-0.09%,101.836B
BNB USD,582.80,-55.93,-8.76%,3.861B
Solana USD,182.36,-1.54,-0.84%,11.798B
Lido Staked ETH USD,"3,541.43",-200.91,-5.37%,76.766M
XRP USD,0.607828,-0.029410,-4.62%,2.238B
USD Coin USD,0.999915,-0.000290,-0.03%,12.366B
Cardano USD,0.659877,-0.067282,-9.25%,958.667M
Dogecoin USD,0.144341,-0.020196,-12.27%,2.402B
Avalanche USD,53.49,-4.84,-8.30%,2.266B
Shiba Inu USD,0.000025,-0.000005,-15.76%,1.916B
Polkadot USD,9.6928,-1.1112,-10.29%,582.986M
Toncoin USD,3.5251,-0.3841,-9.82%,100.373M
TRON USD,0.125399,-0.001043,-0.83%,370.602M
Wrapped TRON USD,0.124746,-0.001281,-1.02%,1.171M
Chainlink USD,18.25,-1.39,-7.07%,655.138M
Polygon USD,1.0512,-0.0927,-8.10%,715.019M
Wrapped Bitcoin USD,"65,713.05","-3,657.14",-5.27%,376.478M
Bitcoin Cash USD,392.65,-25.03,-5.99%,520.524M
Uniswap USD,12.05,-1.01,-7.77%,228.106M
NEAR Protocol USD,6.7371,-0.7702,-10.26%,1.007B
Litecoin USD,84.96,-5.04,-5.60%,623.548M
Internet Computer USD,12.25,-0.62,-4.84%,171.116M
UNUS SED LEO USD,6.0577,-0.0023,-0.04%,1.185M
